DBLP:journals/corr/HardtMPW15	Strategic Classification	Moritz Hardt and Nimrod Megiddo and Christos H. Papadimitriou and Mary Wootters	2015

DBLP:journals/corr/BadanidiyuruPRS15	Locally Adaptive Optimization: Adaptive Seeding for Monotone Submodular Functions	Ashwinkumar Badanidiyuru and Christos H. Papadimitriou and Aviad Rubinstein and Lior Seeman and Yaron Singer	2015

DBLP:journals/corr/PapadimitriouV15	On the Computational Complexity of Limit Cycles in Dynamical Systems	Christos H. Papadimitriou and Nisheeth K. Vishnoi	2015

DBLP:conf/focs/LivnatPRVW14	Satisfiability and Evolution	Adi Livnat and Christos H. Papadimitriou and Aviad Rubinstein and Gregory Valiant and Andrew Wan	2014

DBLP:conf/fsttcs/ChastainLPV14	Algorithms, Games, and Evolution (Invited Talk)	Erick Chastain and Adi Livnat and Christos H. Papadimitriou and Umesh V. Vazirani	2014

DBLP:conf/ipco/AdlerPR14	On Simplex Pivoting Rules and Complexity Theory	Ilan Adler and Christos H. Papadimitriou and Aviad Rubinstein	2014

DBLP:conf/sigecom/OthmanPR14	The complexity of fairness through equilibrium	Abraham Othman and Christos H. Papadimitriou and Aviad Rubinstein	2014

DBLP:conf/sigecom/CaiP14	Simultaneous bayesian auctions and computational complexity	Yang Cai and Christos H. Papadimitriou	2014

DBLP:journals/corr/AdlerPR14	On Simplex Pivoting Rules and Complexity Theory	Ilan Adler and Christos H. Papadimitriou and Aviad Rubinstein	2014

DBLP:journals/corr/PapadimitriouPPR14	The Intractability of Dynamic Mechanism Design	Christos H. Papadimitriou and George Pierrakos and Christos-Alexandros Psomas and Aviad Rubinstein	2014

DBLP:journals/corr/CaiDP14	Optimum Statistical Estimation with Strategic Data Sources	Yang Cai and Constantinos Daskalakis and Christos H. Papadimitriou	2014

DBLP:journals/corr/PapadimitriouV14	Unsupervised Learning through Prediction in a Model of Cortex	Christos H. Papadimitriou and Santosh Vempala	2014

DBLP:journals/teco/GoldbergPS13	The Complexity of the Homotopy Method, Equilibrium Selection, and Lemke-Howson Solutions	Paul W. Goldberg and Christos H. Papadimitriou and Rahul Savani	2013

DBLP:conf/innovations/ChastainLPV13	Multiplicative updates in coordination games and the theory of evolution	Erick Chastain and Adi Livnat and Christos H. Papadimitriou and Umesh V. Vazirani	2013

DBLP:conf/pods/AbouziedAPHS13	Learning and verifying quantified boolean queries by example	Azza Abouzied and Dana Angluin and Christos H. Papadimitriou and Joseph M. Hellerstein and Avi Silberschatz	2013

DBLP:journals/corr/abs-1304-4303	Learning and Verifying Quantified Boolean Queries by Example	Azza Abouzied and Dana Angluin and Christos H. Papadimitriou and Joseph M. Hellerstein and Avi Silberschatz	2013

DBLP:journals/corr/DaskalakisP13	Sparse Covers for Sums of Indicators	Constantinos Daskalakis and Christos H. Papadimitriou	2013

DBLP:journals/corr/LivnatPRW13	Satisfiability and Evolution	Adi Livnat and Christos H. Papadimitriou and Aviad Rubinstein and Andrew Wan	2013

DBLP:journals/corr/OthmanPR13	The Complexity of Fairness through Equilibrium	Abraham Othman and Christos H. Papadimitriou and Aviad Rubinstein	2013

DBLP:journals/cacm/Papadimitriou12	Alan and I	Christos H. Papadimitriou	2012

DBLP:conf/acm/PapadimitriouAK12	An Algorithmic View of the Universe	Christos H. Papadimitriou and Leonard M. Adleman and Richard M. Karp and Donald E. Knuth and Robert E. Tarjan and Leslie G. Valiant	2012

DBLP:conf/icalp/DiakonikolasPPS12	Efficiency-Revenue Trade-Offs in Auctions	Ilias Diakonikolas and Christos H. Papadimitriou and George Pierrakos and Yaron Singer	2012

DBLP:conf/iscopt/Papadimitriou12	The New Faces of Combinatorial Optimization	Christos H. Papadimitriou	2012

DBLP:journals/corr/abs-1205-3077	Efficiency-Revenue Trade-offs in Auctions	Ilias Diakonikolas and Christos H. Papadimitriou and George Pierrakos and Yaron Singer	2012

DBLP:journals/corr/abs-1208-3160	Multiplicative Updates in Coordination Games and the Theory of Evolution	Erick Chastain and Adi Livnat and Christos H. Papadimitriou and Umesh V. Vazirani	2012

DBLP:journals/tcs/ItoDHPSUU11	On the complexity of reconfiguration problems	Takehiro Ito and Erik D. Demaine and Nicholas J. A. Harvey and Christos H. Papadimitriou and Martha Sideri and Ryuhei Uehara and Yushi Uno	2011

DBLP:conf/focs/GoldbergPS11	The Complexity of the Homotopy Method, Equilibrium Selection, and Lemke-Howson Solutions	Paul W. Goldberg and Christos H. Papadimitriou and Rahul Savani	2011

DBLP:conf/sigecom/PapadimitriouW11	Economies with non-convex production and complexity equilibria	Christos H. Papadimitriou and Christopher A. Wilkens	2011

DBLP:conf/sigecom/DobzinskiPS11	Mechanisms for complement-free procurement	Shahar Dobzinski and Christos H. Papadimitriou and Yaron Singer	2011

DBLP:conf/soda/DaskalakisP11	Continuous Local Search	Constantinos Daskalakis and Christos H. Papadimitriou	2011

DBLP:conf/stoc/PapadimitriouP11	On optimal single-item auctions	Christos H. Papadimitriou and George Pierrakos	2011

DBLP:conf/waw/FoudalisJPS11	Modeling Social Networks through User Background and Behavior	Ilias Foudalis and Kamal Jain and Christos H. Papadimitriou and Martha Sideri	2011

DBLP:conf/www/Papadimitriou11	Games, algorithms, and the Internet	Christos H. Papadimitriou	2011

DBLP:journals/corr/abs-1102-2280	On Oblivious PTASs for Nash Equilibrium	Constantinos Daskalakis and Christos H. Papadimitriou	2011

DBLP:journals/geb/BorgsCIKMP10	The myth of the Folk Theorem	Christian Borgs and Jennifer T. Chayes and Nicole Immorlica and Adam Tauman Kalai and Vahab S. Mirrokni and Christos H. Papadimitriou	2010

DBLP:conf/innovations/PapadimitriouV10	A New Look at Selfish Routing	Christos H. Papadimitriou and Gregory Valiant	2010

DBLP:conf/sagt/FiatP10	When the Players Are Not Expectation Maximizers	Amos Fiat and Christos H. Papadimitriou	2010

DBLP:conf/sagt/DaskalakisFPPV10	On Learning Algorithms for Nash Equilibria	Constantinos Daskalakis and Rafael M. Frongillo and Christos H. Papadimitriou and George Pierrakos and Gregory Valiant	2010

DBLP:conf/soda/BuchfuhrerDFKMPSSU10	Inapproximability for VCG-Based Combinatorial Auctions	David Buchfuhrer and Shaddin Dughmi and Hu Fu and Robert Kleinberg and Elchanan Mossel and Christos H. Papadimitriou and Michael Schapira and Yaron Singer and Christopher Umans	2010

DBLP:journals/corr/abs-1002-2334	Budget Feasible Mechanisms	Christos H. Papadimitriou and Yaron Singer	2010

DBLP:journals/corr/abs-1006-5352	The Complexity of the Homotopy Method, Equilibrium Selection, and Lemke-Howson Solutions	Paul W. Goldberg and Christos H. Papadimitriou and Rahul Savani	2010

DBLP:journals/corr/abs-1011-1279	On Optimal Single-Item Auctions	Christos H. Papadimitriou and George Pierrakos	2010

DBLP:journals/cacm/DaskalakisGP09	The complexity of computing a Nash equilibrium	Constantinos Daskalakis and Paul W. Goldberg and Christos H. Papadimitriou	2009

DBLP:journals/csr/KoutsoupiasP09	Worst-case equilibria	Elias Koutsoupias and Christos H. Papadimitriou	2009

DBLP:journals/fuin/SpatharisFSP09	Comparing Trade-off Based Models of the Internet	Anthony Spatharis and Ilias Foudalis and Martha Sideri and Christos H. Papadimitriou	2009

DBLP:journals/geb/BabaioffKP09	Congestion games with malicious players	Moshe Babaioff and Robert Kleinberg and Christos H. Papadimitriou	2009

DBLP:journals/siamcomp/GopalanKMP09	The Connectivity of Boolean Satisfiability: Computational and Structural Dichotomies	Parikshit Gopalan and Phokion G. Kolaitis and Elitza N. Maneva and Christos H. Papadimitriou	2009

DBLP:journals/siamcomp/DaskalakisGP09	The Complexity of Computing a Nash Equilibrium	Constantinos Daskalakis and Paul W. Goldberg and Christos H. Papadimitriou	2009

DBLP:journals/tcs/DaskalakisMP09	A note on approximate Nash equilibria	Constantinos Daskalakis and Aranyak Mehta and Christos H. Papadimitriou	2009

DBLP:conf/icalp/Papadimitriou09	Algorithmic Game Theory: A Snapshot	Christos H. Papadimitriou	2009

DBLP:conf/icalp/DaskalakisP09	On a Network Generalization of the Minmax Theorem	Constantinos Daskalakis and Christos H. Papadimitriou	2009

DBLP:conf/pods/BeeriKP09	The ACM PODS Alberto O. Mendelzon test-of-time-award 2009	Catriel Beeri and Phokion G. Kolaitis and Christos H. Papadimitriou	2009

DBLP:conf/stoc/DaskalakisP09	On oblivious PTASs for nash equilibrium	Constantinos Daskalakis and Christos H. Papadimitriou	2009

DBLP:conf/wine/AdlerDP09	A Note on Strictly Competitive Games	Ilan Adler and Constantinos Daskalakis and Christos H. Papadimitriou	2009

